iter	Passed	Remaining
0	161	161356
1	163	81609
2	165	54930
3	169	42132
4	171	34099
5	173	28704
6	178	25313
7	182	22633
8	184	20295
9	185	18396
10	187	16835
11	188	15526
12	189	14412
13	192	13526
14	193	12687
15	194	11941
16	195	11285
17	196	10706
18	197	10181
19	198	9711
20	199	9286
21	200	8902
22	201	8546
23	202	8216
24	202	7910
25	203	7627
26	205	7417
27	206	7183
28	207	6956
29	208	6740
30	209	6536
31	209	6351
32	210	6176
33	211	6007
34	212	5845
35	212	5692
36	213	5548
37	213	5415
38	214	5285
39	215	5163
40	215	5046
41	216	4933
42	216	4827
43	217	4725
44	218	4628
45	218	4535
46	220	4476
47	221	4392
48	222	4310
49	222	4230
50	223	4154
51	223	4080
52	224	4010
53	225	3941
54	225	3876
55	226	3812
56	226	3751
57	227	3691
58	228	3643
59	229	3593
60	230	3542
61	230	3490
62	231	3440
63	231	3391
64	232	3343
65	233	3297
66	233	3251
67	234	3217
68	235	3177
69	236	3135
70	236	3094
71	236	3053
72	237	3015
73	237	2977
74	238	2939
75	238	2903
76	239	2868
77	239	2834
78	240	2801
79	240	2771
80	241	2740
81	242	2709
82	242	2677
83	242	2647
84	243	2618
85	243	2590
86	244	2562
87	244	2535
88	245	2509
89	245	2483
90	246	2458
91	246	2433
92	247	2409
93	247	2385
94	247	2362
95	248	2343
96	250	2328
97	250	2307
98	251	2285
99	251	2264
100	252	2243
101	252	2223
102	253	2203
103	253	2183
104	254	2165
105	254	2146
106	254	2128
107	255	2110
108	256	2093
109	256	2075
110	257	2058
111	257	2041
112	257	2024
113	258	2008
114	258	1992
115	259	1976
116	259	1960
117	260	1944
118	260	1929
119	261	1915
120	261	1900
121	261	1885
122	262	1871
123	262	1857
124	264	1848
125	265	1839
126	265	1825
127	266	1812
128	266	1800
129	267	1787
130	267	1774
131	267	1762
132	268	1750
133	268	1737
134	269	1726
135	269	1714
136	270	1703
137	270	1692
138	271	1680
139	271	1669
140	272	1658
141	272	1647
142	273	1637
143	273	1626
144	274	1616
145	274	1606
146	275	1596
147	275	1586
148	276	1576
149	276	1567
150	277	1557
151	277	1548
152	278	1539
153	279	1536
154	280	1528
155	280	1520
156	281	1511
157	281	1502
158	282	1493
159	282	1484
160	283	1475
161	283	1468
162	284	1459
163	284	1451
164	285	1443
165	285	1435
166	286	1427
167	286	1419
168	287	1412
169	287	1404
170	288	1396
171	288	1389
172	289	1382
173	289	1374
174	290	1367
175	290	1360
176	291	1353
177	291	1346
178	292	1339
179	292	1332
180	293	1325
181	295	1327
182	295	1320
183	296	1314
184	296	1308
185	297	1302
186	298	1295
187	298	1289
188	299	1283
189	299	1276
190	300	1270
191	300	1264
192	300	1258
193	301	1252
194	301	1246
195	302	1240
196	302	1234
197	303	1229
198	303	1223
199	304	1217
200	304	1211
201	305	1206
202	305	1200
203	306	1195
204	306	1189
205	307	1184
206	307	1178
207	308	1173
208	310	1175
209	311	1170
210	311	1166
211	312	1161
212	312	1156
213	313	1151
214	314	1146
215	314	1141
216	314	1136
217	315	1131
218	315	1126
219	316	1121
220	316	1116
221	317	1111
222	317	1107
223	318	1102
224	318	1097
225	319	1093
226	319	1088
227	320	1084
228	320	1079
229	321	1075
230	321	1070
231	322	1066
232	322	1061
233	323	1057
234	324	1055
235	325	1054
236	326	1049
237	326	1045
238	326	1041
239	327	1036
240	327	1032
241	328	1028
242	328	1024
243	329	1020
244	329	1016
245	330	1012
246	330	1008
247	331	1004
248	331	1000
249	332	996
250	332	992
251	333	988
252	333	985
253	334	981
254	334	977
255	334	973
256	335	969
257	335	966
258	336	962
259	336	958
260	337	955
261	337	951
262	338	947
263	340	948
264	340	944
265	341	941
266	341	938
267	342	934
268	342	931
269	343	927
270	343	924
271	344	920
272	344	917
273	344	914
274	345	910
275	345	907
276	346	904
277	346	900
278	347	897
279	347	894
280	348	891
281	348	888
282	349	884
283	349	881
284	350	878
285	350	875
286	351	872
287	351	869
288	352	866
289	352	863
290	353	860
291	354	860
292	355	857
293	355	854
294	356	851
295	356	848
296	357	845
297	357	843
298	358	840
299	359	837
300	359	834
301	360	832
302	360	829
303	361	826
304	361	823
305	362	821
306	362	818
307	362	815
308	363	812
309	363	809
310	364	807
311	364	804
312	365	801
313	365	799
314	366	796
315	366	793
316	367	791
317	368	789
318	370	791
319	371	789
320	371	786
321	372	784
322	372	781
323	373	779
324	374	777
325	374	775
326	377	776
327	378	774
328	378	772
329	379	770
330	379	767
331	380	765
332	380	763
333	381	760
334	382	759
335	386	762
336	387	763
337	390	763
338	391	763
339	392	761
340	392	758
341	393	756
342	393	753
343	394	751
344	394	749
345	395	747
346	396	746
347	397	744
348	398	742
349	398	740
350	399	738
351	399	736
352	400	733
353	400	731
354	401	729
355	401	726
356	402	724
357	402	722
358	403	719
359	403	717
360	404	715
361	404	713
362	405	710
363	405	708
364	406	706
365	406	704
366	407	702
367	407	700
368	408	697
369	408	695
370	409	693
371	409	691
372	409	689
373	412	690
374	412	688
375	413	686
376	413	684
377	414	681
378	414	679
379	415	677
380	415	675
381	416	673
382	416	671
383	417	669
384	417	667
385	418	665
386	418	663
387	419	661
388	419	659
389	420	657
390	420	655
391	421	653
392	421	651
393	422	649
394	422	647
395	423	645
396	423	643
397	423	641
398	424	639
399	424	637
400	425	636
401	426	635
402	427	633
403	428	631
404	428	629
405	428	627
406	429	625
407	429	623
408	430	621
